id_station;id_network;latitude;longitude;name;type;country;altitude;area_adm_1;area_adm_2;area_adm_3
GMC_42792246914;GMC;43.6673600179;-79.740221785;GMC_42792246914;air;Canada;211.6;Ontario;Peel Regional Municipality;Brampton
GMC_39265285626;GMC;51.2800650866;7.02006340071;GMC_39265285626;air;Germany;;North Rhine-Westphalia;Düsseldorf;Wülfrath
GMC_80235319380;GMC;48.9673661286;8.40852881673;GMC_80235319380;air;Germany;;Baden-Württemberg;Karlsruhe;Karlsruhe
GMC_68023180101;GMC;51.3041513981;6.86520338102;GMC_68023180101;air;Germany;;North Rhine-Westphalia;Düsseldorf;Ratingen
GMC_27939462484;GMC;40.9006787561;-76.7901420593;GMC_27939462484;air;United States;;Pennsylvania;Northumberland County;Northumberland
GMC_94079764253;GMC;47.7118481403;-122.156067789;GMC_94079764253;air;United States;;Washington;King County;Kirkland
GMC_43991129148;GMC;32.89500532;-97.541642189;GMC_43991129148;air;United States;;Texas;Tarrant County;Azle
GMC_90915129726;GMC;33.2478759479;-92.4169921875;GMC_90915129726;air;United States;55.3;Arkansas;Union County;
GMC_13418589539;GMC;39.2427844413;-120.060634722;GMC_13418589539;air;United States;1948.1;California;Placer County;Tahoe Vista
GMC_32120372304;GMC;46.780758466;14.8248899104;GMC_32120372304;air;Austria;;Carinthia;Wolfsberg District;Sankt Andrä
GMC_3800046226;GMC;42.5067322542;-71.3693783304;GMC_3800046226;air;United States;56.6;Massachusetts;Middlesex County;Carlisle
GMC_11422030296;GMC;25.7510158123;-80.2962272801;GMC_11422030296;air;United States;2.6;Florida;Miami-Dade County;Coral Terrace
GMC_2344758;GMC;42.0863369174;-80.1295387924;GMC_2344758;air;United States;235.6;Pennsylvania;Erie County;
GMC_71594888910;GMC;47.20170728;8.78453493118;GMC_71594888910;air;Switzerland;413.9;Canton of Schwyz;Höfe District;Freienbach
GMC_71594888910;GMC;52.2843585358;5.26704847813;GMC_71594888910;air;;2.6;;;Blaricum
GMC_65690110242;GMC;45.2563729577;-93.4648990631;GMC_65690110242;air;United States;274.1;Minnesota;Anoka County;Ramsey
GMC_37264604156;GMC;44.0512387725;-123.03655386;GMC_37264604156;air;United States;136.7;Oregon;Lane County;Springfield
GMC_26431708726;GMC;52.419486988;-7.1675491333;GMC_26431708726;air;Ireland;151.0;County Kilkenny;Kilkenny;
GMC_39390553968;GMC;47.6461513954;-117.43814528;GMC_39390553968;air;United States;608.4;Washington;Spokane County;Spokane
GMC_4941578;GMC;49.2683692796;-123.256974224;GMC_4941578;air;Canada;87.3;British Columbia;Greater Vancouver;University Endowment Lands
GMC_49693833831;GMC;38.6783159982;-121.29245353;GMC_49693833831;air;United States;51.4;California;Sacramento County;Citrus Heights
GMC_50192541587;GMC;41.7176280411;-88.2387405396;GMC_50192541587;air;United States;213.4;Illinois;Will County;Aurora
GMC_20809198890;GMC;34.134994586;-118.647367358;GMC_20809198890;air;United States;385.1;California;Los Angeles County;Calabasas
GMC_5033004996;GMC;51.1088369716;-0.156265497208;GMC_5033004996;air;United Kingdom;74.0;England;West Sussex;Crawley
GMC_34949962097;GMC;41.9769412255;-88.3689513803;GMC_34949962097;air;United States;248.0;Illinois;Kane County;
GMC_16996975435;GMC;39.1726586704;-75.5749511719;GMC_16996975435;air;United States;13.7;Delaware;Kent County;Dover
GMC_14424546023;GMC;43.0620868242;-86.1669838428;GMC_14424546023;air;United States;183.7;Michigan;Ottawa County;
GMC_38635237742;GMC;47.2666644371;9.1239631176;GMC_38635237742;air;Switzerland;652.2;St. Gallen;Toggenburg;Ebnat-Kappel
GMC_40139127413;GMC;62.8952175449;27.6745605469;GMC_40139127413;air;Finland;101.2;Northern Savonia;Kuopio Province;Kuopio
GMC_5825758027;GMC;53.4014814617;-2.59586334229;GMC_5825758027;air;United Kingdom;14.3;England;Warrington;Warrington
GMC_74731881320;GMC;45.0568939208;-85.5874185573;GMC_74731881320;air;United States;;Michigan;Leelanau County;
GMC_40103204093;GMC;40.8668629344;-74.5956176519;GMC_40103204093;air;United States;263.9;New Jersey;Morris County;Randolph
GMC_30245678171;GMC;50.2495992739;10.1625519991;GMC_30245678171;air;Germany;341.0;Bavaria;Lower Franconia;Münnerstadt
GMC_1006303671;GMC;38.896250429;-77.0106095374;GMC_1006303671;air;;8.4;District of Columbia;;Washington
GMC_36874017171;GMC;33.5885258443;-117.201724648;GMC_36874017171;air;United States;422.3;California;Riverside County;Murrieta
GMC_77158412085;GMC;34.0506326845;-118.468537331;GMC_77158412085;air;;94.1;California;Los Angeles County;Los Angeles
GMC_7814622031;GMC;44.1560092013;-72.4721112734;GMC_7814622031;air;United States;;Vermont;Washington County;Barre
GMC_21609553840;GMC;38.5507665417;-121.526019573;GMC_21609553840;air;United States;;California;Yolo County;West Sacramento
GMC_36200613359;GMC;40.8284100653;-74.720249176;GMC_36200613359;air;United States;;New Jersey;Morris County;Mount Olive Township
GMC_47802496980;GMC;45.7286593206;-122.646217346;GMC_47802496980;air;United States;;Washington;Clark County;Mount Vista
GMC_44857077941;GMC;39.8557725853;-75.1323223114;GMC_44857077941;air;United States;;New Jersey;Gloucester County;Deptford Township
GMC_58261394449;GMC;46.7756994625;6.64546251297;GMC_58261394449;air;Switzerland;;Vaud;Jura-Nord vaudois District;Yverdon-les-Bains
GMC_71820803847;GMC;43.1479261244;-88.212084746;GMC_71820803847;air;United States;;Wisconsin;Waukesha County;Sussex
GMC_97784528160;GMC;48.9802169854;-117.158203125;GMC_97784528160;air;United States;1737.9;Washington;Pend Oreille County;
GMC_40846719242;GMC;38.7943830096;-121.033694744;GMC_40846719242;air;United States;352.8;California;El Dorado County;
GMC_85119125066;GMC;50.2740186595;8.85792553425;GMC_85119125066;air;Germany;173.1;Hesse;Darmstadt;Nidderau
GMC_73879486152;GMC;39.1917197671;-94.0315532684;GMC_73879486152;air;United States;218.3;Missouri;Ray County;Fleming
GMC_42786510256;GMC;47.133629443;8.46474319696;GMC_42786510256;air;Switzerland;441.2;Canton of Zug;Zug;Risch-Rotkreuz
GMC_97784528160;GMC;48.9802169854;-117.158203125;GMC_97784528160;air;United States;1737.9;Washington;Pend Oreille County;
GMC_8491202640;GMC;34.3234773219;-108.202148639;GMC_8491202640;air;United States;2272.1;New Mexico;Catron County;
GMC_14254391757;GMC;37.2764842358;-121.980173561;GMC_14254391757;air;United States;;California;Santa Clara County;San Jose
