id_station;date;value;value_max;id_network;latitude;longitude;name;type;country;altitude;area_adm_1;area_adm_2;area_adm_3
RaHome_20753;22/06/17 15:06;9.0;11.0;RaHome;51.347301;12.449201;Team Nick: hidden;air;Alemania;0;Sajonia;Leipzig;Leipzig
RaHome_10626;22/06/17 15:07;18.0;16.0;RaHome;45.76738;3.066916;Team L\'Alliance Francophone Nick: TBirdTheYuri;air;Francia;0;Auvernia-Ródano-Alpes;Puy-de-Dôme;Chamalières
RaHome_10626;22/06/17 15:11;14.0;16.0;RaHome;45.76738;3.066916;Team L\'Alliance Francophone Nick: TBirdTheYuri;air;Francia;0;Auvernia-Ródano-Alpes;Puy-de-Dôme;Chamalières
RaHome_14041;22/06/17 15:11;17.0;16.0;RaHome;49.314621;7.161793;Team Wetterbase Nick: Private Wetterstation Spiesen-Elversberg;air;Alemania;0;Sarre;;Spiesen-Elversberg
RaHome_11512;22/06/17 15:15;11.0;11.0;RaHome;47.482292;9.734144;Team Gridcoin Nick: philjfry;air;Austria;0;Vorarlberg;Bregenz District;Lauterach
RaHome_11512;22/06/17 15:19;9.0;11.0;RaHome;47.482292;9.734144;Team Gridcoin Nick: philjfry;air;Austria;0;Vorarlberg;Bregenz District;Lauterach
RaHome_15554;22/06/17 15:22;9.0;8.0;RaHome;48.872456;9.228873;Team Planet 3DNow! Nick: Ali;air;Alemania;0;Baden-Wurtemberg;Región Administrativa de Stuttgart;Remseck
RaHome_10626;22/06/17 15:35;15.0;16.0;RaHome;45.76738;3.066916;Team L\'Alliance Francophone Nick: TBirdTheYuri;air;Francia;0;Auvernia-Ródano-Alpes;Puy-de-Dôme;Chamalières
RaHome_14041;22/06/17 15:35;15.0;16.0;RaHome;49.314621;7.161793;Team Wetterbase Nick: Private Wetterstation Spiesen-Elversberg;air;Alemania;0;Sarre;;Spiesen-Elversberg
RaHome_15283;22/06/17 15:38;11.0;12.0;RaHome;44.429058;8.819723;Team Nick: hidden;air;Italia;0;Liguria;Génova;Génova
RaHome_10626;22/06/17 15:39;15.0;16.0;RaHome;45.76738;3.066916;Team L\'Alliance Francophone Nick: TBirdTheYuri;air;Francia;0;Auvernia-Ródano-Alpes;Puy-de-Dôme;Chamalières
RaHome_11512;22/06/17 15:43;10.0;11.0;RaHome;47.482292;9.734144;Team Gridcoin Nick: philjfry;air;Austria;0;Vorarlberg;Bregenz District;Lauterach
RaHome_15753;22/06/17 15:46;10.0;11.0;RaHome;53.44817;14.574866;Team BOINC@Poland Nick: metalic;air;;0;;;Szczecin
RaHome_5586;22/06/17 15:46;11.0;11.0;RaHome;50.407986;16.155811;Team Czech National Team Nick: Martin Skoda;air;Chequia;0;Región de Hradec Králové;Náchod District;Náchod
RaHome_11512;22/06/17 15:47;9.0;11.0;RaHome;47.482292;9.734144;Team Gridcoin Nick: philjfry;air;Austria;0;Vorarlberg;Bregenz District;Lauterach
RaHome_14992;22/06/17 15:49;10.0;11.0;RaHome;50.817741;6.138309;Team AMD Users Nick: Chris Skull;air;Alemania;0;Renania del Norte-Westfalia;Región de Colonia;Würselen
RaHome_23303;22/06/17 15:49;13.0;14.0;RaHome;53.546986;14.573035;Team BOINC@Poland Nick: Svistak;air;;0;;Police County;Police
RaHome_19311;22/06/17 15:50;10.0;9.0;RaHome;45.132008;-92.096901;Nick: scubaroboto;air;Estados Unidos;0;Wisconsin;Condado de Dunn;
