date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
22/06/17 20:01;RaHome_16486;RaHome;air;48.560654;16.068798;226.2;Austria;Baja Austria;Distrito de Hollabrunn;Hollabrunn;Nick: Andreas64;8.0;8.0
22/06/17 20:03;RaHome_11559;RaHome;air;50.57579;12.659295;495.6;Alemania;Sajonia;Chemnitz;Zschorlau;Team Wetter-Board Nick: tiefdrucktommy;15.0;14.0
22/06/17 20:07;RaHome_16031;RaHome;air;49.171413;16.689362;256.9;Chequia;Región de Moravia Meridional;Brno-City District;Brno;Team Nick: hidden;12.0;12.0
22/06/17 20:08;RaHome_7660;RaHome;air;46.531982;15.678003;260.7;Eslovenia;Administrative unit Maribor;Maribor;Máribor;Nick: Viljem Muhic;12.0;13.0
22/06/17 20:09;RaHome_5439;RaHome;air;49.19772;12.090994;416.0;Alemania;Baviera;Alto Palatinado;Maxhütte-Haidhof;Team Nick: hidden;10.0;11.0
22/06/17 20:09;RaHome_15895;RaHome;air;49.345234;13.92541;488.3;Chequia;Región de Bohemia Meridional;Strakonice District;Radomyšl;Team Czech National Team Nick: Slava.7;16.0;18.0
22/06/17 20:09;RaHome_4942;RaHome;air;46.786877;-0.835744;256.7;Francia;Países del Loira;Vendée;Pouzauges;Team L\'Alliance Francophone Nick: [AF>EDLS]_Damien;14.0;15.0
22/06/17 20:09;RaHome_16905;RaHome;air;48.167431;15.070585;224.5;Austria;Baja Austria;Distrito de Melk;Ybbs an der Donau;Nick: WetterYbbs;8.0;9.0
22/06/17 20:09;RaHome_15215;RaHome;air;61.605328;5.067063;0.3;Noruega;Sogn og Fjordane;Flora;Florø;Team Team Norway Nick: Asbjørn Aamot;8.0;10.0
22/06/17 20:10;RaHome_20601;RaHome;air;46.791885;4.420394;334.9;Francia;Borgoña-Franco Condado;Saona y Loira;Le Creusot;Team L\'Alliance Francophone Nick: [AF>Libristes>Jip] Elgrande71;19.0;19.0
22/06/17 20:10;RaHome_11449;RaHome;air;44.386433;8.044162;402.7;Italia;Piamonte;Cuneo;Ceva;Team BOINC.Italy Nick: Marco Plassio;18.0;15.0
22/06/17 20:10;RaHome_15516;RaHome;air;51.460106;7.143731;103.3;Alemania;Renania del Norte-Westfalia;Región de Arnsberg;Bochum;Team SETI.Germany Nick: sgw703;8.0;12.0
22/06/17 20:10;RaHome_14930;RaHome;air;54.17625;15.549774;3.0;Polonia;Voivodato de Pomerania Occidental;Kołobrzeg County;Kołobrzeg;Team BOINC@Poland Nick: tito;10.0;10.0
22/06/17 20:10;RaHome_6825;RaHome;air;51.367924;12.364576;122.9;Alemania;Sajonia;Leipzig;Leipzig;Team Wetter-Board Nick: Leipzig-Wetter;14.0;13.0
22/06/17 20:10;RaHome_23303;RaHome;air;53.546986;14.573035;12.5;;;Police County;Police;Team BOINC@Poland Nick: Svistak;13.0;14.0
22/06/17 20:10;RaHome_15662;RaHome;air;53.095467;10.650644;46.3;Alemania;Baja Sajonia;;Römstedt;Team Planet 3DNow! Nick: Landjunge;9.0;10.0
22/06/17 20:11;RaHome_14972;RaHome;air;49.197971;12.033615;;Alemania;Baviera;Alto Palatinado;Burglengenfeld;Nick: Robert-1;13.0;12.0
22/06/17 20:11;RaHome_11560;RaHome;air;51.45079;13.87051;100.1;Alemania;Brandeburgo;;Ruhland;Team Wetter-Board Nick: kniffo;10.0;10.0
22/06/17 20:11;RaHome_5278;RaHome;air;48.251995;11.393538;490.5;Alemania;Baviera;Alta Baviera;Bergkirchen;Team Nick: hidden;12.0;12.0
22/06/17 20:11;RaHome_5438;RaHome;air;48.186176;11.275964;520.5;Alemania;Baviera;Alta Baviera;Emmering;Team Nick: hidden;12.0;9.0
22/06/17 20:11;RaHome_15229;RaHome;air;50.069069;21.97224;219.6;;Voivodato de Subcarpacia;Rzeszów County;Rzeszów;Team BOINC@Poland Nick: kriu;12.0;13.0
22/06/17 20:12;RaHome_1974;RaHome;air;47.057186;-122.818558;41.3;Estados Unidos;Washington;Condado de Thurston;Lacey;Nick: apotheca;11.0;9.0
22/06/17 20:12;RaHome_9686;RaHome;air;51.317711;6.20234;48.2;Alemania;Renania del Norte-Westfalia;Región de Düsseldorf;Nettetal;Team Wetter-Board Nick: Nettetal-Kaldenkirchen;14.0;14.0
