id_station;date;value;value_max
RaHome_6;2017-06-22 20:19:44;12.0;11.0
RaHome_51;2017-06-22 20:25:01;10.0;8.0
RaHome_73;2017-06-22 20:18:59;14.0;13.0
RaHome_611;2017-06-22 20:28:28;8.0;9.0
RaHome_635;2017-06-22 20:29:07;16.0;14.0
RaHome_914;2017-06-22 20:29:40;11.0;9.0
RaHome_1875;2017-06-22 20:17:46;13.0;12.0
RaHome_1887;2017-06-22 01:31:53;16.0;15.0
RaHome_1935;2017-06-22 20:15:45;12.0;12.0
RaHome_1974;2017-06-22 20:12:02;11.0;9.0
RaHome_2127;2017-06-22 20:22:16;11.0;10.0
RaHome_2145;2017-06-22 12:19:11;9.0;10.0
RaHome_2318;2017-06-22 20:19:06;10.0;10.0
RaHome_4137;2017-06-22 20:23:31;15.0;12.0
RaHome_4556;2017-06-22 20:24:09;12.0;11.0
RaHome_4887;2017-06-22 20:16:40;11.0;12.0
RaHome_4942;2017-06-22 20:09:46;14.0;15.0
RaHome_5278;2017-06-22 20:11:13;12.0;12.0
RaHome_5313;2017-06-22 20:32:54;10.0;9.0
RaHome_5378;2017-06-22 20:25:20;11.0;10.0
RaHome_5379;2017-06-22 20:12:39;12.0;11.0
RaHome_5438;2017-06-22 20:11:22;12.0;9.0
RaHome_5439;2017-06-22 20:09:13;10.0;11.0
RaHome_5494;2017-06-22 20:23:33;13.0;12.0
RaHome_5586;2017-06-22 20:19:46;13.0;11.0
RaHome_5587;2017-06-22 20:23:47;7.0;8.0
RaHome_5879;2017-06-22 19:45:37;16.0;15.0
RaHome_5884;2017-06-22 20:25:43;10.0;11.0
RaHome_5885;2017-06-22 13:54:56;20.0;15.0
RaHome_5949;2017-06-22 20:21:26;10.0;10.0
RaHome_5970;2017-06-22 20:17:24;10.0;11.0
RaHome_6110;2017-06-22 20:13:57;13.0;14.0
RaHome_6239;2017-06-22 18:06:32;11.0;12.0
RaHome_6311;2017-06-22 20:16:23;14.0;13.0
RaHome_6314;2017-06-22 20:19:04;9.0;12.0
RaHome_6825;2017-06-22 20:10:45;14.0;13.0
RaHome_6845;2017-06-22 20:26:46;7.0;9.0
RaHome_6876;2017-06-22 20:24:40;8.0;8.0
RaHome_7024;2017-06-22 03:22:04;10.0;10.0
RaHome_7333;2017-06-22 20:21:57;14.0;13.0
RaHome_7386;2017-06-22 20:33:21;9.0;8.0
RaHome_7660;2017-06-22 20:08:34;12.0;13.0
RaHome_7865;2017-06-22 19:39:24;9.0;9.0
RaHome_7883;2017-06-22 20:23:38;17.0;20.0
RaHome_8010;2017-06-22 20:24:10;16.0;14.0
RaHome_8131;2017-06-22 20:12:36;10.0;11.0
RaHome_8444;2017-06-22 20:22:44;10.0;10.0
RaHome_8527;2017-06-22 12:15:49;10.0;12.0
RaHome_8889;2017-06-22 20:27:26;13.0;12.0
RaHome_9686;2017-06-22 20:12:06;14.0;14.0
RaHome_9818;2017-06-22 20:31:04;10.0;11.0
RaHome_10015;2017-06-22 20:15:46;10.0;10.0
RaHome_10032;2017-06-22 20:20:03;8.0;11.0
RaHome_10062;2017-06-22 20:33:07;12.0;13.0
RaHome_10128;2017-06-22 20:14:31;13.0;12.0
RaHome_10226;2017-06-22 20:22:25;18.0;16.0
RaHome_10464;2017-06-22 20:32:34;9.0;8.0
RaHome_10529;2017-06-22 20:29:04;18.0;15.0
RaHome_10559;2017-06-22 20:16:57;18.0;18.0
RaHome_10564;2017-06-22 20:15:39;13.0;11.0
RaHome_10626;2017-06-22 19:23:30;14.0;16.0
RaHome_10946;2017-06-22 20:16:21;9.0;10.0
RaHome_10998;2017-06-22 20:31:03;13.0;13.0
RaHome_11449;2017-06-22 20:10:10;18.0;15.0
RaHome_11512;2017-06-22 19:34:03;12.0;11.0
RaHome_11559;2017-06-22 20:03:07;15.0;14.0
RaHome_11560;2017-06-22 20:11:03;10.0;10.0
RaHome_11562;2017-06-22 20:28:50;2.0;2.0
RaHome_11593;2017-06-22 20:22:55;13.0;10.0
RaHome_11668;2017-06-22 20:23:11;15.0;14.0
RaHome_11785;2017-06-22 20:13:47;9.0;10.0
RaHome_11827;2017-06-22 20:16:04;11.0;10.0
RaHome_11905;2017-06-22 20:20:21;14.0;14.0
RaHome_12091;2017-06-22 19:01:07;11.0;9.0
RaHome_12190;2017-06-22 20:18:11;10.0;13.0
RaHome_12322;2035-10-16 13:46:10;12.0;10.0
RaHome_12333;2017-06-22 19:34:56;8.0;10.0
RaHome_12521;2017-06-22 20:23:51;12.0;12.0
RaHome_12523;2017-06-22 20:17:04;11.0;11.0
RaHome_12929;2017-06-22 20:31:36;12.0;14.0
RaHome_13040;2017-06-22 20:30:20;14.0;14.0
RaHome_13083;2017-06-22 20:23:33;11.0;13.0
RaHome_13199;2017-06-22 20:29:48;14.0;16.0
RaHome_13208;2017-06-22 20:21:16;8.0;10.0
RaHome_13229;2017-06-22 20:28:31;10.0;11.0
RaHome_13401;2017-06-22 20:27:23;15.0;13.0
RaHome_13496;2017-06-22 20:15:12;12.0;11.0
RaHome_13638;2017-06-22 20:28:15;12.0;13.0
RaHome_13660;2017-06-22 03:28:36;23.0;19.0
RaHome_13706;2017-06-22 20:28:23;11.0;11.0
RaHome_13710;2017-06-22 20:22:55;12.0;12.0
RaHome_13815;2017-06-22 20:26:36;8.0;9.0
RaHome_13842;2017-06-22 16:43:30;11.0;11.0
RaHome_13997;2017-06-22 10:19:46;10.0;13.0
RaHome_14041;2017-06-22 18:49:59;17.0;16.0
RaHome_14133;2017-06-22 20:27:29;10.0;11.0
RaHome_14186;2017-06-22 20:19:23;8.0;9.0
RaHome_14187;2017-06-22 20:15:35;15.0;14.0
RaHome_14210;2017-06-22 20:30:24;9.0;9.0
