date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
21/08/17 17:00;BE23100;Eurdep;air;51.25;5.13;26.0;Belgium;Región Flamenca;Amberes;Dessel;Dessel 1;7.7;7.9
21/08/17 17:00;BE23600;Eurdep;air;51.24;5.09;22.7;Belgium;Región Flamenca;Amberes;Dessel;Dessel 2;7.3;7.6
21/08/17 17:00;BE23700;Eurdep;air;51.27;5.08;21.5;Belgium;Región Flamenca;Amberes;Retie;Retie;8.0;8.5
21/08/17 17:00;BE23800;Eurdep;air;51.24;4.97;21.1;Belgium;Región Flamenca;Amberes;Kasterlee;Kasterlee;8.3;8.6
21/08/17 17:00;BE25100;Eurdep;air;51.46;4.44;16.2;Belgium;Región Flamenca;Amberes;Essen;Essen;7.8;8.3
21/08/17 17:00;BE25200;Eurdep;air;50.75;4.02;54.8;Belgium;Región Flamenca;Brabante Flamenco;Galmaarden;Galmaarden;10.1;10.0
21/08/17 17:00;BE25300;Eurdep;air;50.85;4.26;73.8;Belgium;Región Flamenca;Brabante Flamenco;Dilbeek;Dilbeek;10.9;11.0
21/08/17 17:00;BE25400;Eurdep;air;51.08;4.45;6.6;Belgium;Región Flamenca;Amberes;Rumst;Walem;8.3;8.6
21/08/17 17:00;BE25500;Eurdep;air;51.22;4.57;7.9;Belgium;Región Flamenca;Amberes;Ranst;Oelegem;8.3;8.6
21/08/17 17:00;BE25600;Eurdep;air;51.43;4.76;13.0;Belgium;Región Flamenca;Amberes;Hoogstraten;Minderhout;7.8;8.2
21/08/17 17:00;BE25800;Eurdep;air;50.9;4.53;45.4;Belgium;Región Flamenca;Brabante Flamenco;Steenokkerzeel;Zaventem;10.5;10.0
21/08/17 17:00;BE25900;Eurdep;air;51.09;4.72;9.1;Belgium;Región Flamenca;Amberes;Heist-op-den-Berg;Hallaar;8.7;9.2
21/08/17 17:00;BE26000;Eurdep;air;51.08;4.91;11.4;Belgium;Región Flamenca;Amberes;Westerlo;Westerlo;8.1;8.5
21/08/17 17:00;BE26100;Eurdep;air;51.41;5.01;29.0;Belgium;Región Flamenca;Amberes;Ravels;Weelde;8.5;8.0
21/08/17 17:00;BE26200;Eurdep;air;50.88;4.82;96.3;Belgium;Región Flamenca;Brabante Flamenco;Lubbeek;Lubbeek;10.2;10.0
21/08/17 17:00;BE26300;Eurdep;air;50.99;5.06;26.0;Belgium;Región Flamenca;Brabante Flamenco;Diest;Diest;7.5;7.8
21/08/17 17:00;BE26400;Eurdep;air;51.07;5.28;42.0;Belgium;Región Flamenca;Limburgo;Beringen;Koersel;7.1;7.6
21/08/17 17:00;BE26500;Eurdep;air;51.17;5.46;56.2;Belgium;Región Flamenca;Limburgo;Peer;Kleine Brogel;7.0;7.3
21/08/17 17:00;BE26600;Eurdep;air;51.24;5.3;43.8;Belgium;Región Flamenca;Limburgo;Lommel;Lommel;5.9;6.2
21/08/17 17:00;BE26800;Eurdep;air;51.02;5.52;90.8;Belgium;Región Flamenca;Limburgo;Opglabbeek;Genk;6.8;7.0
21/08/17 17:00;BE26900;Eurdep;air;51.1;5.79;27.9;Belgium;Región Flamenca;Limburgo;Maaseik;Maaseik;8.8;9.1
21/08/17 17:00;BE33100;Eurdep;air;50.45;4.49;157.5;Belgium;Región Valona;Provincia de Henao;Charleroi;Ransart;7.9;8.0
21/08/17 17:00;BE33200;Eurdep;air;50.43;4.5;118.5;Belgium;Región Valona;Provincia de Henao;Charleroi;Gilly;10.9;11.0
21/08/17 17:00;BE33300;Eurdep;air;50.44;4.53;178.8;Belgium;Región Valona;Provincia de Henao;Farciennes;Farciennes;9.1;9.4
21/08/17 17:00;BE33400;Eurdep;air;50.45;4.53;175.2;Belgium;Región Valona;Provincia de Henao;Farciennes;Vieux-Campinaire;11.3;19.0
21/08/17 17:00;BE33500;Eurdep;air;50.47;4.53;170.1;Belgium;Región Valona;Provincia de Henao;Fleurus;Martinroux;10.5;10.0
21/08/17 17:00;BE33700;Eurdep;air;50.45;4.55;180.8;Belgium;Región Valona;Provincia de Henao;Fleurus;Lambusart;11.2;11.0
21/08/17 17:00;BE33800;Eurdep;air;50.48;4.55;161.5;Belgium;Región Valona;Provincia de Henao;Fleurus;Fleurus;11.0;11.0
21/08/17 17:00;BE34100;Eurdep;air;50.09;4.68;124.6;Belgium;Región Valona;Provincia de Namur;Viroinval;Treignes;11.1;11.0
21/08/17 17:00;BE34300;Eurdep;air;50.14;4.74;169.5;Belgium;Región Valona;Provincia de Namur;Doische;Doische;11.9;12.0
