date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
04/06/17 14:00;CH500000;Eurdep;air;46.49;7.56;0.0;Switzerland;0;0;0;Adelboden SMN;12.3;14
04/06/17 14:00;CH500050;Eurdep;air;46.33;6.92;383.3;Switzerland;Cantón del Valais;Distrito de Monthey;Vouvry;Aigle SMN;12.9;17
04/06/17 14:00;CH500100;Eurdep;air;46.89;8.62;438.4;Switzerland;Uri;Uri;Altdorf;Altdorf SMN;13.2;14
04/06/17 14:00;CH500150;Eurdep;air;47.54;7.58;318.5;Switzerland;Basilea-Campiña;Distrito de Arlesheim;Binningen;Basel / Binningen SMN;11.7;15
04/06/17 14:00;CH500200;Eurdep;air;46.99;7.46;553.0;Switzerland;Cantón de Berna;Berna;Zollikofen;Bern / Zollikofen SMN;12.8;18
04/06/17 14:00;CH500250;Eurdep;air;47.56;8.23;349.5;Switzerland;Argovia;Distrito de Zurzach;Böttstein;Beznau SMN;11.0;15
04/06/17 14:00;CH500300;Eurdep;air;47.38;8.08;391.8;Switzerland;Argovia;Distrito de Aarau;Suhr;Buchs / Aarau SMN;11.0;15
04/06/17 14:00;CH500350;Eurdep;air;47.08;6.79;1013.6;Switzerland;Cantón de Neuchâtel;Distrito de La Chaux-de-Fonds;La Chaux-de-Fonds;La Chaux-de-Fonds SMN;13.5;16
04/06/17 14:00;CH500400;Eurdep;air;46.4;6.23;444.0;Switzerland;Cantón de Vaud;Distrito de Nyon;Duillier;Nyon / Changins SMN;12.4;15
04/06/17 14:00;CH500450;Eurdep;air;47.13;7.05;1577.9;Switzerland;Cantón de Berna;Distrito de La Neuveville;Nods;Chasseral SMN;13.0;15
04/06/17 14:00;CH500500;Eurdep;air;46.87;9.53;551.2;Switzerland;Grisones;Distrito de Plessur;Cuera;Chur SMN;11.7;14
04/06/17 14:00;CH500550;Eurdep;air;46.81;9.84;1576.9;Switzerland;Grisones;Distrito de Prettigovia/Davos;Davos;Davos SMN;16.3;18
04/06/17 14:00;CH500600;Eurdep;air;46.71;8.85;1439.9;Switzerland;Grisones;Distrito de Surselva;Disentis/Mustér;Disentis / Sedrun SMN;11.7;14
04/06/17 14:00;CH500650;Eurdep;air;46.42;6.1;1547.6;Switzerland;Cantón de Vaud;Distrito de Nyon;La Rippe;La Dôle SMN;12.7;14
04/06/17 14:00;CH500700;Eurdep;air;46.82;8.41;1016.4;Switzerland;Cantón de Obwalden;Obwalden;Engelberg;Engelberg SMN;9.4;10
04/06/17 14:00;CH500750;Eurdep;air;47.42;6.94;603.9;Switzerland;Bourgogne-Franche-Comté;Doubs;Abbévillers;Fahy / Boncourt SMN;13.6;17
04/06/17 14:00;CH500800;Eurdep;air;46.84;6.58;1182.7;Switzerland;Cantón de Vaud;Distrito de Jura-Nord vaudois;Bullet;Bullet / La Frétaz SMN;13.7;16
04/06/17 14:00;CH500850;Eurdep;air;47.03;9.07;531.0;Switzerland;Glaris;Glarus;Glaris;Glarus SMN;10.9;12
04/06/17 14:00;CH500900;Eurdep;air;47.36;7.97;381.5;Switzerland;Soleura;Distrito de Olten;Däniken;Gösgen SMN;11.3;15
04/06/17 14:00;CH500950;Eurdep;air;45.87;7.17;2511.3;Switzerland;Cantón del Valais;Distrito de Entremont;Bourg-Saint-Pierre;Col du Grand St-Bernard SMN;15.0;17
04/06/17 14:00;CH501000;Eurdep;air;46.65;8.61;2133.0;Switzerland;Uri;Uri;Andermatt;Gütsch ob Andermatt SMN;17.3;18
04/06/17 14:00;CH501050;Eurdep;air;47.6;9.28;450.9;Switzerland;Cantón de Turgovia;Distrito de Kreuzlingen;Güttingen;Güttingen SMN;11.8;17
04/06/17 14:00;CH501100;Eurdep;air;46.25;6.13;408.8;Switzerland;Ginebra;Genève;Bellevue;Genève-Cointrin SMN;11.7;15
04/06/17 14:00;CH501200;Eurdep;air;47.37;8.94;1065.8;Switzerland;Zúrich;Distrito de Hinwil;Fischenthal;Hörnli SMN;10.6;14
04/06/17 14:00;CH501250;Eurdep;air;46.55;7.99;3511.1;Switzerland;Cantón del Valais;Distrito de Goms;Fieschertal;Jungfraujoch SMN;18.5;19
04/06/17 14:00;CH501300;Eurdep;air;47.48;8.54;422.5;Switzerland;Zúrich;Distrito de Dielsdorf;Oberglatt;Zürich-Kloten SMN;12.8;19
04/06/17 14:00;CH501350;Eurdep;air;47.6;8.19;342.7;Switzerland;Argovia;Distrito de Zurzach;Leibstadt;Leibstadt SMN;10.7;15
04/06/17 14:00;CH501400;Eurdep;air;46.0;8.96;0.0;Switzerland;0;0;0;Lugano SMN;12.6;14
04/06/17 14:00;CH501450;Eurdep;air;47.04;8.3;457.8;Switzerland;Lucerna;Luzern;Lucerna;Luzern SMN;11.6;15
04/06/17 14:00;CH501500;Eurdep;air;46.16;8.93;205.6;Switzerland;Cantón del Tesino;Distrito de Bellinzona;Cadenazzo;Magadino / Cadenazzo SMN;14.1;18
04/06/17 14:00;CH501550;Eurdep;air;46.55;7.02;1774.9;Switzerland;Friburgo;La Gruyère;Gruyères;Le Moléson SMN;13.6;17
04/06/17 14:00;CH501600;Eurdep;air;46.97;7.28;513.9;Switzerland;Cantón de Berna;Distrito de Laupen;Mühleberg;Mühleberg SMN;12.7;17
04/06/17 14:00;CH501650;Eurdep;air;47.0;7.94;0.0;Switzerland;0;0;0;Napf SMN;11.9;16
04/06/17 14:00;CH501700;Eurdep;air;47.0;6.95;0.0;Switzerland;0;0;0;Neuchâtel SMN;10.7;13
04/06/17 14:00;CH501750;Eurdep;air;46.17;8.79;217.5;Switzerland;Cantón del Tesino;Distrito de Locarno;Locarno;Locarno / Monti SMN;16.3;19
04/06/17 14:00;CH501800;Eurdep;air;46.81;6.94;491.3;Switzerland;Cantón de Vaud;Distrito de Broye-Vully;Payerne;Payerne SMN;10.9;15
04/06/17 14:00;CH501850;Eurdep;air;46.51;8.69;990.5;Switzerland;Cantón del Tesino;Distrito de Leventina;Quinto;Piotta SMN;14.7;16
04/06/17 14:00;CH501900;Eurdep;air;46.75;7.27;994.2;Switzerland;Friburgo;Distrito de Sense;Brünisried;Plaffeien SMN;12.8;18
04/06/17 14:00;CH501950;Eurdep;air;46.51;6.67;412.5;Switzerland;Cantón de Vaud;Distrito de Lavaux-Oron;Pully;Pully SMN;13.6;17
04/06/17 14:00;CH502000;Eurdep;air;47.43;8.52;441.3;Switzerland;Zúrich;Distrito de Zúrich;Zúrich;Zürich / Affoltern SMN;12.1;18
