date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
08/05/17 03:00;GB2001;Eurdep;air;52.79;-4.75;46.3;United Kingdom;Gales;Gwynedd;;Aberdaron;9.6;10.8
08/05/17 03:00;GB2002;Eurdep;air;53.25;-4.54;6.2;United Kingdom;Gales;Isla de Anglesey;;Valley;10.0;11.0
08/05/17 03:00;GB2003;Eurdep;air;52.76;-3.46;284.2;United Kingdom;Gales;Powys;;Lake Vyrnwy;11.7;12.8
08/05/17 03:00;GB2004;Eurdep;air;53.26;-3.51;70.5;United Kingdom;Gales;Denbighshire;;Rhyl;10.3;11.0
08/05/17 03:00;GB2006;Eurdep;air;53.81;-1.87;268.9;United Kingdom;Inglaterra;Yorkshire del Oeste;Wilsden;Wilsden (Bingley);11.3;12.8
08/05/17 03:00;GB2007;Eurdep;air;53.18;-0.52;72.0;United Kingdom;Inglaterra;Lincolnshire;;Waddington;11.0;11.8
08/05/17 03:00;GB2009;Eurdep;air;53.09;-0.17;7.9;United Kingdom;Inglaterra;Lincolnshire;Coningsby;Coningsby;9.5;10.8
08/05/17 03:00;GB2010;Eurdep;air;54.36;-0.67;259.3;United Kingdom;Inglaterra;Yorkshire Norte;;Fylingdales;9.4;10.0
08/05/17 03:00;GB2011;Eurdep;air;53.77;-3.03;9.3;United Kingdom;Inglaterra;Lancashire;;Squires Gate (Blackpool);9.9;11.0
08/05/17 03:00;GB2012;Eurdep;air;53.87;-0.43;6.0;United Kingdom;Inglaterra;Yorkshire Oriental;;Leconfield;10.4;11.0
08/05/17 03:00;GB2013;Eurdep;air;54.57;-2.41;229.0;United Kingdom;Inglaterra;Cumbria;;Warcop Range;11.4;12.8
08/05/17 03:00;GB2014;Eurdep;air;54.3;-1.53;33.1;United Kingdom;Inglaterra;Yorkshire Norte;;Leeming;11.1;12.0
08/05/17 03:00;GB2017;Eurdep;air;54.93;-2.96;23.4;United Kingdom;Inglaterra;Cumbria;Carlisle;Carlisle;10.8;11.8
08/05/17 03:00;GB2018;Eurdep;air;55.42;-1.6;23.0;United Kingdom;Inglaterra;Northumberland;;Boulmer;11.0;12.0
08/05/17 03:00;GB2019;Eurdep;air;54.09;-4.63;22.2;United Kingdom;;;;Ronaldsway (Isle of Man);10.7;11.8
08/05/17 03:00;GB2020;Eurdep;air;53.01;-1.25;119.4;United Kingdom;Inglaterra;Nottinghamshire;;Nottingham WC (Watnall);11.3;12.8
08/05/17 03:00;GB2101;Eurdep;air;52.65;0.57;0.0;United Kingdom;0;0;0;Marham;9.1;10.0
08/05/17 03:00;GB2104;Eurdep;air;52.12;0.96;86.6;United Kingdom;Inglaterra;Suffolk;;Wattisham;10.7;11.8
08/05/17 03:00;GB2107;Eurdep;air;51.55;0.83;0.0;United Kingdom;0;0;0;Shoeburyness;10.6;12.0
08/05/17 03:00;GB2108;Eurdep;air;51.76;-1.58;83.0;United Kingdom;Inglaterra;Oxfordshire;;Brize Norton;8.0;9.0
08/05/17 03:00;GB2109;Eurdep;air;51.48;-0.45;25.8;United Kingdom;Inglaterra;Gran Londres;Longford;Heathrow;11.3;12.0
08/05/17 03:00;GB2110;Eurdep;air;51.35;1.35;41.9;United Kingdom;Inglaterra;Kent;;Manston;10.1;11.0
08/05/17 03:00;GB2111;Eurdep;air;51.13;1.34;15.2;United Kingdom;Inglaterra;Kent;Dover;Langdon Bay;10.1;11.0
08/05/17 03:00;GB2112;Eurdep;air;51.15;-0.19;57.7;United Kingdom;Inglaterra;Sussex Occidental;Horley;Gatwick;10.7;12.0
08/05/17 03:00;GB2114;Eurdep;air;51.29;0.45;23.9;United Kingdom;Inglaterra;Kent;;East Malling;11.0;12.8
08/05/17 03:00;GB2115;Eurdep;air;50.95;0.89;2.0;United Kingdom;Inglaterra;Kent;;Lydd (Airport);9.0;10.0
08/05/17 03:00;GB2116;Eurdep;air;50.78;-1.83;10.3;United Kingdom;Inglaterra;Dorset;;Hurn (Bournemouth);9.5;10.8
08/05/17 03:00;GB2117;Eurdep;air;50.82;-0.92;4.2;United Kingdom;Inglaterra;Sussex Occidental;;Thorney Island;12.0;13.0
08/05/17 03:00;GB2118;Eurdep;air;50.89;0.32;0.0;United Kingdom;0;0;0;Herstmonceux;10.0;11.0
08/05/17 03:00;GB2119;Eurdep;air;50.51;-2.46;0.0;United Kingdom;;;;Portland Bill;9.7;11.0
08/05/17 03:00;GB2120;Eurdep;air;49.44;-2.6;94.3;United Kingdom;Saint Saviour;;;Guernsey;9.4;10.0
08/05/17 03:00;GB2121;Eurdep;air;49.21;-2.19;86.4;United Kingdom;St Peter;;;Jersey;10.9;12.0
08/05/17 03:00;GB2122;Eurdep;air;51.24;-0.94;0.0;United Kingdom;0;0;0;Odiham;8.5;9.0
08/05/17 03:00;GB2123;Eurdep;air;52.26;0.57;0.0;United Kingdom;0;0;0;Brooms Barn;9.0;10.8
08/05/17 03:00;GB2125;Eurdep;air;52.48;-1.69;96.7;United Kingdom;Inglaterra;Warwickshire;Coleshill;Coleshill;9.8;10.0
08/05/17 03:00;GB2126;Eurdep;air;55.91;-4.5;33.1;United Kingdom;Escocia;Renfrewshire;Bishopton;Bishopton;10.1;11.8
08/05/17 03:00;GB2129;Eurdep;air;51.41;-3.43;46.0;United Kingdom;Gales;Valle de Glamorgan;;St Athan;10.0;11.8
08/05/17 03:00;GB2130;Eurdep;air;50.58;-1.3;94.2;United Kingdom;Inglaterra;Isla de Wight;Niton;St Catherines (Isle of Wight);10.3;11.0
08/05/17 03:00;GB2201;Eurdep;air;52.79;-2.66;71.9;United Kingdom;Inglaterra;Shropshire;Shawbury;Shawbury;11.3;12.0
08/05/17 03:00;GB2202;Eurdep;air;52.61;-0.47;0.0;United Kingdom;0;0;0;Wittering;11.0;12.0
08/05/17 03:00;GB2204;Eurdep;air;52.24;-2.88;94.0;United Kingdom;Inglaterra;Herefordshire;;Shobdon;11.9;13.0
08/05/17 03:00;GB2205;Eurdep;air;52.35;-3.94;140.3;United Kingdom;Gales;Ceredigion;;Trawscoed;12.3;13.0
08/05/17 03:00;GB2206;Eurdep;air;52.14;-4.57;132.7;United Kingdom;Gales;Ceredigion;;Aberporth;12.6;14.2
08/05/17 03:00;GB2207;Eurdep;air;51.71;-5.05;31.4;United Kingdom;Gales;Pembrokeshire;Milford Haven;Milford Haven;11.9;13.0
08/05/17 03:00;GB2208;Eurdep;air;51.57;-3.98;0.0;United Kingdom;;Swansea;The Mumbles;Mumbles Head;10.0;10.8
08/05/17 03:00;GB2211;Eurdep;air;52.15;-2.04;30.1;United Kingdom;Inglaterra;Worcestershire;;Pershore;12.1;13.0
08/05/17 03:00;GB2212;Eurdep;air;51.09;-3.61;367.5;United Kingdom;Inglaterra;Somerset;;Liscombe;13.0;14.0
08/05/17 03:00;GB2213;Eurdep;air;51.16;-1.75;113.3;United Kingdom;Inglaterra;Wiltshire;Amesbury;Boscombe Down;10.2;11.0
08/05/17 03:00;GB2214;Eurdep;air;51.01;-2.64;16.4;United Kingdom;Inglaterra;Somerset;;Yeovilton;11.0;12.0
08/05/17 03:00;GB2215;Eurdep;air;50.71;-3.5;13.8;United Kingdom;Inglaterra;Devon;Exeter;Exeter;15.1;17.2
08/05/17 03:00;GB2216;Eurdep;air;50.36;-4.14;0.0;United Kingdom;;;;Plymouth;13.3;15.0
08/05/17 03:00;GB2217;Eurdep;air;50.44;-5.0;0.0;United Kingdom;0;0;0;St Mawgan;12.0;13.0
08/05/17 03:00;GB2218;Eurdep;air;50.22;-5.33;80.4;United Kingdom;Inglaterra;Cornualles;Kehelland;Camborne;13.1;13.8
08/05/17 03:00;GB2219;Eurdep;air;49.92;-6.29;4.4;United Kingdom;Inglaterra;Islas Sorlingas;;Scilly;13.9;15.8
08/05/17 03:00;GB2301;Eurdep;air;55.02;-7.21;90.6;United Kingdom;Irlanda del Norte;Derry;;Carmoney;10.9;12.0
08/05/17 03:00;GB2302;Eurdep;air;55.18;-6.15;162.2;United Kingdom;Irlanda del Norte;Moyle;;Ballypatrick Forest;10.2;11.0
08/05/17 03:00;GB2303;Eurdep;air;54.65;-6.22;75.2;United Kingdom;Irlanda del Norte;Antrim;;Aldergrove (Belfast Airport);9.7;10.0
06/05/17 22:00;GB2304;Eurdep;air;54.24;-6.5;148.1;United Kingdom;Irlanda del Norte;Armagh;;Glenanne;0.0;0.0
08/05/17 03:00;GB2305;Eurdep;air;54.36;-7.59;101.4;United Kingdom;Irlanda del Norte;Fermanagh;;Enniskillen;11.4;12.0
08/05/17 03:00;GB2401;Eurdep;air;54.86;-4.93;8.0;United Kingdom;Escocia;Dumfries y Galloway;;West Freugh;10.1;11.0
08/05/17 03:00;GB2402;Eurdep;air;55.5;-4.58;15.4;United Kingdom;Escocia;Ayrshire Sur;Prestwick;Prestwick;10.2;11.0
08/05/17 03:00;GB2403;Eurdep;air;55.31;-3.21;228.6;United Kingdom;Escocia;Dumfries y Galloway;;Eskdalemuir;10.7;11.0
08/05/17 03:00;GB2404;Eurdep;air;55.72;-2.38;132.4;United Kingdom;Escocia;Scottish Borders;;Charterhall;12.0;13.0
08/05/17 03:00;GB2405;Eurdep;air;55.44;-5.7;9.0;United Kingdom;Escocia;Argyll y Bute;;Machrihanish;8.9;9.8
08/05/17 03:00;GB2407;Eurdep;air;56.38;-2.86;10.4;United Kingdom;Escocia;Fife;;Leuchars;11.2;12.0
08/05/17 03:00;GB2408;Eurdep;air;55.95;-3.35;31.3;United Kingdom;Escocia;Edinburgh;Ingliston;Turnhouse (Edinburgh Airport);9.5;10.0
08/05/17 03:00;GB2409;Eurdep;air;56.33;-3.73;21.5;United Kingdom;Escocia;Perth y Kinross;;Strathallan;11.7;12.8
08/05/17 03:00;GB2410;Eurdep;air;56.41;-5.47;5.8;United Kingdom;Escocia;Argyll y Bute;Oban;Oban;10.4;11.0
