date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
29/05/17 13:00;GR_Alex;Eurdep;air;40.86;25.95;0.0;Greece;0;0;0.0;ALEXANDROUPOLIS;7.0;7.0
23/05/17 22:00;GR_Argos;Eurdep;air;37.63;22.76;0.0;Greece;0;0;0.0;ARGOS;0.0;0.0
29/05/17 13:00;GR_Dromos;Eurdep;air;38.0;23.82;0.0;Greece;0;0;0;DEMOKRITOS;5.7;5.8
29/05/17 13:00;GR_Hellini;Eurdep;air;37.88;23.73;0.0;Greece;0;0;0.0;HELLINIKON;5.1;5.1
29/05/17 13:00;GR_Ioannin;Eurdep;air;39.62;20.85;479.0;Greece;Ipiros Ditiki Makedonia;Epiro;;IOANNINA;7.5;7.9
29/05/17 13:00;GR_Kavala;Eurdep;air;40.92;24.62;4.0;Greece;Makedonia Thraki;Macedonia Oriental y Tracia;;KAVALA;9.3;9.8
25/05/17 22:00;GR_Kefalon;Eurdep;air;38.12;20.5;14.0;Greece;Peloponnisos Dytiki Ellada ke Ionio;Islas Jónicas;;KEFALONIA;0.0;0.0
29/05/17 13:00;GR_Kerkyra;Eurdep;air;39.61;19.91;3.4;Greece;Peloponnisos Dytiki Ellada ke Ionio;Islas Jónicas;;CORFU;7.5;7.6
26/05/17 22:00;GR_Komotin;Eurdep;air;41.13;25.41;53.9;Greece;Makedonia Thraki;Macedonia Oriental y Tracia;;KOMOTINI;0.0;0.0
29/05/17 12:00;GR_Lamia;Eurdep;air;38.87;22.47;3.1;Greece;Thessalia Sterea Ellada;Grecia Central;;LAMIA;5.2;5.9
29/05/17 13:00;GR_Larissa;Eurdep;air;39.65;22.46;70.7;Greece;Thessalia Sterea Ellada;Tesalia;;LARISSA;6.0;6.8
29/05/17 13:00;GR_Lesvos;Eurdep;air;39.05;26.6;22.7;Greece;Egeo;Northern Aegean;;LESVOS;7.1;7.2
29/05/17 12:00;GR_Limnos;Eurdep;air;39.92;25.25;4.3;Greece;Egeo;Northern Aegean;;LIMNOS;9.3;9.3
29/05/17 12:00;GR_Ptolema;Eurdep;air;40.48;21.73;624.1;Greece;Ipiros Ditiki Makedonia;Macedonia Occidental;;PTOLEMAIS;8.7;8.9
29/05/17 12:00;GR_Rodos;Eurdep;air;36.4;28.09;41.4;Greece;Egeo;Egeo Meridional;;RODOS;5.1;5.6
29/05/17 07:00;GR_Salamis;Eurdep;air;37.99;23.54;0.0;Greece;0;0;0.0;SALAMIS;3.9;3.0
29/05/17 12:00;GR_Salonik;Eurdep;air;40.63;22.96;40.0;Greece;Makedonia Thraki;Macedonia Central;Salónica;SALONICA;6.4;6.5
29/05/17 12:00;GR_Samos;Eurdep;air;37.75;26.97;0.0;Greece;0;0;0.0;SAMOS;5.5;5.7
29/05/17 12:00;GR_Serrai;Eurdep;air;41.08;23.53;39.3;Greece;Makedonia Thraki;Macedonia Central;Serres;SERRAI;10.0;11.0
29/05/17 12:00;GR_Souda;Eurdep;air;35.5;24.14;0.0;Greece;0;0;0.0;SOUDA;4.8;6.4
15/05/17 22:00;GR_Volos;Eurdep;air;39.38;22.82;123.3;Greece;Thessalia Sterea Ellada;Tesalia;;VOLOS;0.0;0.0
