date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
13/06/17 03:00;LV0001;Eurdep;air;55.73;26.54;152.8;Latvia;Municipalidad de Daugavpils;Demene Parish;Demene;Demene;7.2;7.6
13/06/17 03:00;LV0002;Eurdep;air;56.16;21.16;13.5;Latvia;Municipalidad de Rucava;Rucava parish;Rucava;Rucava;6.4;7.2
13/06/17 03:00;LV0003;Eurdep;air;56.85;26.21;155.2;Latvia;Municipalidad de Madona;Madonas pilsēta;Madona;Madona;6.7;7.2
13/06/17 03:00;LV0004;Eurdep;air;56.51;27.34;155.9;Latvia;Municipalidad de Rēzekne;Rēzeknes pilsēta;Rēzekne;Rezekne;6.8;7.1
13/06/17 03:00;LV0005;Eurdep;air;57.71;24.37;6.0;Latvia;Salacgrīva Municipality;Salacgrīvas lauku teritorija;Svētciems;Salacgriva;6.8;7.0
13/06/17 03:00;LV0007;Eurdep;air;57.4;21.62;5.3;Latvia;Ventspils;Ventspils pilsēta;Ventspils;Ventspils;8.8;8.9
13/06/17 03:00;LV0008;Eurdep;air;57.25;22.59;65.9;Latvia;Municipalidad de Talsi;Talsu pilsēta;Talsi;Talsi;6.2;6.5
13/06/17 03:00;LV0009;Eurdep;air;57.53;25.41;34.9;Latvia;Valmiera;Valmieras pilsēta;Valmiera;Valmiera;8.0;8.1
13/06/17 03:00;LV0010;Eurdep;air;56.5;21.02;2.1;Latvia;Liepājas pilsēta;Liepājas pilsēta;Liepāja;Liepaja;10.2;10.4
13/06/17 03:00;LV0011;Eurdep;air;57.13;27.26;115.7;Latvia;Municipalidad de Balvi;Balvu pilsēta;Balvi;Balvi;6.4;6.9
13/06/17 03:00;LV0012;Eurdep;air;55.87;26.53;95.0;Latvia;Daugavpils;Daugavpils pilsēta;Daugavpils;Daugavpils - Raina street;7.0;7.3
13/06/17 03:00;LV0013;Eurdep;air;56.75;24.41;40.6;Latvia;Municipalidad de Baldone;Baldones pilsēta;Baldone;Baldone - 1 Radons;6.6;7.0
13/06/17 03:00;LV0014;Eurdep;air;56.96;23.74;11.0;Latvia;Jūrmala;Jūrmalas pilsēta;Jūrmala;Jurmala;6.2;6.0
13/06/17 03:00;LV0015;Eurdep;air;55.86;26.54;83.0;Latvia;Daugavpils;Daugavpils pilsēta;Daugavpils;Daugavpils - Udensvada street;6.7;7.0
13/06/17 03:00;LV0016;Eurdep;air;56.96;24.12;15.0;Latvia;Riga;Rīgas pilsēta;Riga;Riga - Rupniecibas street;6.2;6.4
13/06/17 03:00;LV0022;Eurdep;air;56.74;24.39;29.9;Latvia;Municipalidad de Baldone;Baldones lauku teritorija;Avoti;Baldone - 2 Parupes;7.1;7.4
13/06/17 03:00;LV0006;Eurdep;air;56.87;24.37;19.1;Latvia;Salaspils Municipality;Salaspils pilsēta;Salaspils;Salaspils;6.3;6.7
13/06/17 03:00;LV0019;Eurdep;air;55.79;26.36;143.1;Latvia;Municipalidad de Daugavpils;Medumi Parish;Medumi;Medumi;6.9;7.3
13/06/17 03:00;LV0023;Eurdep;air;56.83;24.31;11.0;Latvia;Salaspils Municipality;Salaspils lauku teritorija;;Riga - Daugava;1.6;1.6
13/06/17 03:00;LV0018;Eurdep;air;55.75;26.79;149.0;Latvia;Municipalidad de Daugavpils;Skrudaliena Parish;Silene;Silene;7.1;7.6
13/06/17 03:00;LV0017;Eurdep;air;56.66;23.71;1.9;Latvia;Jelgava;Jelgavas pilsēta;Jelgava;Jelgava;6.8;7.1
