date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
06/08/17 16:00;NO2000;Eurdep;air;78.27;15.49;-80.8;Norway;Svalbard;;;Longyearbyen;9.7;9
06/08/17 16:00;NO2001;Eurdep;air;71.03;27.83;1.0;Norway;Finnmark;Gamvik;;Mehamn;7.9;8
06/08/17 16:00;NO2002;Eurdep;air;70.67;23.67;0.6;Norway;Finnmark;Hammerfest;;Hammerfest;7.9;8
06/08/17 15:00;NO2003;Eurdep;air;70.37;30.91;137.7;Norway;Finnmark;Vardø;;Vardø;7.7;8
06/08/17 16:00;NO2004;Eurdep;air;69.65;18.94;72.4;Norway;Troms;Tromsø;Tromsø;Tromsø;7.1;7
06/08/17 14:00;NO2005;Eurdep;air;69.46;30.04;37.0;Norway;Finnmark;Sør-Varanger;;Svanhovd;6.3;6
06/08/17 14:00;NO2006;Eurdep;air;69.61;25.3;280.0;Norway;Finnmark;Karasjok;;Karasjok;7.5;7
06/08/17 14:00;NO2007;Eurdep;air;68.8;16.54;16.0;Norway;Troms;Harstad;Harstad;Harstad;12.5;12
06/08/17 16:00;NO2008;Eurdep;air;67.27;14.39;16.0;Norway;Nordland;Bodø;;Bodø;10.3;10
06/08/17 16:00;NO2009;Eurdep;air;66.31;14.14;20.7;Norway;Nordland;Rana;Mo i Rana;Mo i Rana;9.1;9
06/08/17 14:00;NO2010;Eurdep;air;65.46;12.22;1.0;Norway;Nordland;Brønnøy;Brønnøysund;Brønnøysund;6.7;7
06/08/17 16:00;NO2011;Eurdep;air;64.25;12.38;46.2;Norway;Trondelag Norte;Snåsa Municipality;Snasa;Snåsa;7.0;7
06/08/17 16:00;NO2012;Eurdep;air;63.41;10.47;157.2;Norway;Sør-Trøndelag;Trondheim;Trondheim;Trondheim;9.6;9
06/08/17 15:00;NO2013;Eurdep;air;62.76;7.21;257.9;Norway;Møre og Romsdal;Molde;;Molde;8.3;8
06/08/17 16:00;NO2014;Eurdep;air;62.07;9.12;621.9;Norway;Oppland;Dovre;;Dombås;13.6;14
06/08/17 16:00;NO2015;Eurdep;air;61.89;12.05;684.4;Norway;Hedmark;Engerdal;;Drevsjø;8.8;9
06/08/17 16:00;NO2016;Eurdep;air;61.45;5.85;1.3;Norway;Sogn og Fjordane;Førde;Førde;Førde;11.5;11
06/08/17 16:00;NO2017;Eurdep;air;60.82;11.07;216.1;Norway;Hedmark;Hamar;Hamar;Hamar;11.6;12
06/08/17 16:00;NO2018;Eurdep;air;60.58;8.41;496.1;Norway;Buskerud;Hol;;Hol;15.5;16
06/08/17 15:00;NO2019;Eurdep;air;60.38;5.33;0.0;Norway;Hordaland;Bergen;Bergen;Bergen;11.4;11
06/08/17 15:00;NO2020;Eurdep;air;59.98;11.05;130.6;Norway;Akershus;Skedsmo;;Kjeller;13.1;13
06/08/17 16:00;NO2021;Eurdep;air;59.94;10.72;87.5;Norway;Oslo;Oslo Municipality;Oslo;Oslo;12.0;14
06/08/17 14:00;NO2022;Eurdep;air;59.62;7.85;554.7;Norway;Telemark;Vinje;;Vinje;8.9;9
06/08/17 14:00;NO2023;Eurdep;air;59.0;11.53;0.0;Norway;0;0;0;Halden;10.6;11
06/08/17 16:00;NO2024;Eurdep;air;58.96;5.73;46.0;Norway;Rogaland;Stavanger;Stavanger;Stavanger;11.9;12
06/08/17 16:00;NO2025;Eurdep;air;58.99;10.03;16.2;Norway;Vestfold;Larvik;;Stavern;14.1;14
04/08/17 00:00;NO2026;Eurdep;air;58.56;8.98;0.0;Norway;0;0;0.0;Kilsund;0.0;0
06/08/17 16:00;NO2027;Eurdep;air;58.12;6.57;0.0;Norway;Vest-Agder;Farsund;;Lista;9.3;9
06/08/17 14:00;NO2028;Eurdep;air;69.02;23.02;379.7;Norway;Finnmark;Kautokeino;;Kautokeino;9.2;9
06/08/17 14:00;NO2029;Eurdep;air;62.4;5.66;3.3;Norway;Møre og Romsdal;Herøy;;Runde;10.7;11
06/08/17 16:00;NO2030;Eurdep;air;69.79;20.95;4.3;Norway;Troms;Nordreisa;;Sørkjosen;9.0;9
06/08/17 14:00;NO2031;Eurdep;air;68.24;14.57;3.4;Norway;Nordland;Vågan;;Svolvær;11.0;11
06/08/17 14:00;NO2032;Eurdep;air;63.64;8.69;19.7;Norway;Sør-Trøndelag;Hitra;;Hitra;9.5;9
