date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
02/04/17 02:00;RO0052;Eurdep;air;44.33;28.05;57.9;Romania;Constanța;Cernavoda;Cernavodă;Turnul Meteo Cernavoda;10.5;11
02/04/17 02:00;RO0053;Eurdep;air;44.19;27.32;11.5;Romania;Călărași;Calarasi;;A.P.M. Calarasi;9.0;10
02/04/17 01:00;RO0055;Eurdep;air;44.56;27.37;24.5;Romania;Ialomița;Slobozia;Slobozia;A.P.M. Slobozia;9.6;10
02/04/17 02:00;RO0057;Eurdep;air;44.31;28.05;9.2;Romania;Constanța;Saligny;Cernavodă;Ecluza Brat Stang;8.0;9
02/04/17 02:00;RO0058;Eurdep;air;44.31;28.04;0.0;Romania;0;0;0.0;Ecluza Poarta;10.0;11
02/04/17 01:00;RO0061;Eurdep;air;44.24;27.93;62.4;Romania;Constanța;Rasova;Rasova;Politie Rasova;10.1;11
02/04/17 01:00;RO0064;Eurdep;air;44.35;28.22;0.0;Romania;0;0;0.0;Primaria Tortomanu;10.7;12
02/04/17 02:00;RO0068;Eurdep;air;44.32;28.06;22.3;Romania;Constanța;Saligny;Cernavodă;Statie 400 KV - 3;9.5;10
02/04/17 02:00;RO0069;Eurdep;air;44.19;27.32;11.5;Romania;Călărași;Calarasi;;Statie Meteo Calarasi;11.9;13
02/04/17 02:00;RO0071;Eurdep;air;44.31;28.06;32.4;Romania;Constanța;Saligny;;UM 0495 - Jandarmi;8.9;9
02/04/17 01:00;RO0073;Eurdep;air;43.85;28.6;10.0;Romania;Constanța;Municipiul Mangalia;Venus;UM 2060 Mangalia;9.7;11
02/04/17 01:00;RO0074;Eurdep;air;44.33;28.04;18.2;Romania;Constanța;Cernavoda;Cernavodă;Statie Radioactivitate;9.4;10
02/04/17 02:00;RO0076;Eurdep;air;44.32;28.05;9.3;Romania;Constanța;Saligny;Cernavodă;Organizare Santier;9.3;10
02/04/17 01:00;RO0077;Eurdep;air;44.39;27.84;55.0;Romania;Ialomița;Fetesti;Fetești;Statie Meteo Fetesti;10.6;12
02/04/17 02:00;RO0080;Eurdep;air;44.32;28.06;22.3;Romania;Constanța;Saligny;Cernavodă;C.N.E. Cernavoda tld l-9;11.7;12
02/04/17 02:00;RO0082;Eurdep;air;44.35;28.04;100.3;Romania;Constanța;Cernavoda;Cernavodă;Statie Meteorologica;9.0;11
02/04/17 02:00;RO0084;Eurdep;air;43.8;24.06;54.4;Romania;Dolj;Orașul Dăbuleni;;SCDPPN Dabuleni;9.7;10
02/04/17 02:00;RO0085;Eurdep;air;43.79;24.05;32.8;Romania;Dolj;Comuna Călărași;;Primarie Calarasi;9.1;10
22/03/17 23:00;RO0086;Eurdep;air;43.75;23.95;29.4;Romania;Dolj;Orașul Bechet;;SPET Bechet;0.0;0
02/04/17 02:00;RO0087;Eurdep;air;43.79;23.94;37.8;Romania;Dolj;Orașul Bechet;;Statie RA Bechet;9.9;10
02/04/17 01:00;RO0088;Eurdep;air;43.82;23.9;35.6;Romania;Dolj;Comuna Ostroveni;Ostroveni;Primarie Ostroveni;10.9;12
02/04/17 02:00;RO0089;Eurdep;air;43.83;23.89;34.6;Romania;Dolj;Comuna Ostroveni;;Pepiniera Zaval;10.5;12
