date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
25/04/17 03:00;SI1001;Eurdep;air;45.94;15.51;154.1;Slovenia;Krško;Municipality of Krško;Vrbina;Krsko-NEK-URSJV;7.0;7
25/04/17 03:00;SI1003;Eurdep;air;46.09;14.6;279.0;Slovenia;Ljubljana;Municipality of Dol pri Ljubljani;Brinje;Ljubljana-Brinje-IJS;8.4;9
25/04/17 03:00;SI1004;Eurdep;air;46.09;14.59;279.1;Slovenia;Ljubljana;Ljubljana;Liubliana;Ljubljana-Brinje-URSJV;9.4;10
25/04/17 03:00;SI0002;Eurdep;air;46.09;14.59;279.1;Slovenia;Ljubljana;Ljubljana;Liubliana;Brinje;10.9;11
25/04/17 03:00;SI0003;Eurdep;air;46.22;14.47;366.0;Slovenia;Kranj;Municipality of Cerklje na Gorenjskem;Spodnji Brnik;Brnik;10.9;11
25/04/17 03:00;SI0004;Eurdep;air;46.23;15.26;201.7;Slovenia;Celje;Celje;Celje;Celje;8.9;10
25/04/17 03:00;SI0005;Eurdep;air;45.87;13.9;83.0;Slovenia;Administrative unit Ajdovščina;Municipality of Ajdovščina;Ustje;Dolenje;8.6;9
25/04/17 03:00;SI0006;Eurdep;air;46.06;14.34;344.0;Slovenia;Ljubljana;Municipality of Dobrova–Polhov Gradec;Dolenja Vas pri Polhovem Gradcu;Dvor;9.2;10
25/04/17 03:00;SI0007;Eurdep;air;46.62;15.68;282.4;Slovenia;Pesnica;Municipality of Pesnica;Pesnica pri Mariboru;Gacnik;12.0;12
25/04/17 03:00;SI0008;Eurdep;air;46.68;16.0;0.0;Slovenia;0;0;0;Gornja Radgona;10.0;11
25/04/17 03:00;SI0009;Eurdep;air;46.07;14.55;292.0;Slovenia;Ljubljana;Ljubljana;Liubliana;Hrastje;7.2;7
25/04/17 03:00;SI0010;Eurdep;air;46.14;15.08;327.3;Slovenia;Municipality of Hrastnik;Municipality of Hrastnik;Hrastnik;Hrastnik;8.8;9
25/04/17 03:00;SI0040;Eurdep;air;45.55;14.24;429.0;Slovenia;Ilirska Bistrica;Municipality of Ilirska Bistrica;Koseze;Ilirska Bistrica;10.9;12
25/04/17 03:00;SI0011;Eurdep;air;45.94;14.51;322.9;Slovenia;Ljubljana;Municipality of Ig;Iška Vas;Iska vas;8.6;9
25/04/17 03:00;SI0012;Eurdep;air;45.86;15.69;151.1;Slovenia;Brežice;Municipality of Brežice;Jesenice;Jesenice na Dolenjskem;7.5;8
25/04/17 03:00;SI0013;Eurdep;air;46.22;14.61;370.0;Slovenia;Kamnik;Municipality of Kamnik;Kamnik;Kamnik;7.7;8
25/04/17 03:00;SI0014;Eurdep;air;45.56;13.74;1.0;Slovenia;Koper;Municipality of Ankaran;Ankaran;Koper;9.0;10
25/04/17 03:00;SI0015;Eurdep;air;46.55;16.46;156.0;Slovenia;Lendava;Municipality of Lendava;Trimlini;Lendava;9.0;10
25/04/17 03:00;SI0016;Eurdep;air;46.24;15.22;239.5;Slovenia;Žalec;Municipality of Žalec;Levec;Levec;10.6;11
25/04/17 03:00;SI0017;Eurdep;air;46.3;15.49;298.3;Slovenia;Slovenske Konjice;Municipality of Slovenske Konjice;Loče;Loce;10.2;11
25/04/17 03:00;SI0018;Eurdep;air;45.95;15.2;294.3;Slovenia;Sevnica;Municipality of Sevnica;Malkovec;Malkovec;10.5;11
25/04/17 03:00;SI0019;Eurdep;air;46.56;15.65;268.9;Slovenia;Administrative unit Maribor;Maribor;Máribor;Maribor-Center;8.4;9
25/04/17 03:00;SI0020;Eurdep;air;46.48;15.68;263.0;Slovenia;Administrative unit Maribor;Municipality of Hoče - Slivnica;Orehova vas;Maribor-Slivnica;9.7;10
25/04/17 03:00;SI0022;Eurdep;air;46.61;15.16;340.1;Slovenia;Radlje ob Dravi;Municipality of Muta;Muta;Muta;10.1;11
25/04/17 03:00;SI0024;Eurdep;air;45.96;13.65;98.0;Slovenia;Nova Gorica;Municipality of Nova Gorica;Nova Gorica;Nova Gorica;9.8;10
25/04/17 03:00;SI0025;Eurdep;air;45.86;15.46;210.5;Slovenia;Krško;Municipality of Krško;Žabjek v Podbočju;Podbocje;9.1;10
