date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
18/08/17 07:00;UA33231;Eurdep;air;51.27;30.23;137.0;Ukraine;Óblast de Kiev;Ivankivs'kyi district;Chernóbil;Chornobyl;18.0;18.0
18/08/17 07:00;UA33345;Eurdep;air;50.39;30.54;137.7;Ukraine;Kyiv city;Kyiv City;Kiev;Kyiv;11.0;11.0
18/08/17 07:00;UA33347;Eurdep;air;50.34;30.95;115.1;Ukraine;Óblast de Kiev;;Borispol;Boryspil;8.0;8.0
18/08/17 07:00;UA33228;Eurdep;air;50.69;29.58;142.0;Ukraine;Óblast de Kiev;Borodyans'kyi district;;Teteriv;7.8;7.8
18/08/17 07:00;UA33236;Eurdep;air;50.96;30.9;109.3;Ukraine;Chernigov;Kozelets'kyi district;Zhukivshchyna;Oster;10.0;10.0
18/08/17 07:00;UA33339;Eurdep;air;50.07;29.93;203.3;Ukraine;Óblast de Kiev;;Fastiv;Fastiv;12.0;12.0
18/08/17 07:00;UA33342;Eurdep;air;50.59;30.52;98.0;Ukraine;Óblast de Kiev;Vyshhorods'kyi district;Vishgorod;Vyshhorod;10.0;10.0
18/08/17 07:00;UA33464;Eurdep;air;49.83;30.11;174.9;Ukraine;Óblast de Kiev;Bilotserkivs'kyi district;;Bila Tserkva;12.0;12.0
18/08/17 00:00;UA33466;Eurdep;air;49.65;31.08;150.0;Ukraine;Óblast de Kiev;Myronivs'kyi district;;Myronivka;0.0;0.0
18/08/17 07:00;UA33354;Eurdep;air;50.36;31.34;98.5;Ukraine;Óblast de Kiev;Baryshivs'kyi district;;Baryshivka;9.6;9.6
18/08/17 07:00;UA33356;Eurdep;air;50.23;31.79;125.0;Ukraine;Óblast de Kiev;Yahotyns'kyi district;Yahotin;Yahotyn;8.0;8.0
18/08/17 07:00;UA34208;Eurdep;air;50.3;35.96;166.1;Ukraine;Óblast de Járkov;Zolochivs'kyi district;Zolochov;Zolochiv;10.0;10.0
18/08/17 07:00;UA34300;Eurdep;air;49.93;36.28;148.2;Ukraine;Óblast de Járkov;;Járkov;Kharkiv;9.6;9.6
18/08/17 07:00;UA34302;Eurdep;air;50.16;35.5;143.8;Ukraine;Óblast de Járkov;Bohodukhivs'kyi district;Bogodujov;Bohodukhiv;9.6;9.6
18/08/17 07:00;UA34304;Eurdep;air;49.85;35.23;182.0;Ukraine;Óblast de Járkov;Kolomats'kyi district;;Kolomak;9.6;9.6
18/08/17 07:00;UA34312;Eurdep;air;50.07;37.39;139.0;Ukraine;Óblast de Járkov;Velykoburluts'kyi district;Velykyi Burluk;Velykyi Burluk;9.6;9.6
18/08/17 07:00;UA34317;Eurdep;air;49.6;36.53;104.7;Ukraine;Óblast de Járkov;Zmiivs'kyi district;Slobozhanske;Komsomolske;10.0;10.0
18/08/17 07:00;UA34319;Eurdep;air;49.65;37.65;88.7;Ukraine;Óblast de Járkov;;Kup'yans'k-Vuzlovyi;Kupiansk;6.1;6.1
18/08/17 07:00;UA34401;Eurdep;air;49.36;35.41;157.0;Ukraine;Óblast de Járkov;Krasnohrads'kyi district;;Krasnohrad;11.0;11.0
18/08/17 07:00;UA34409;Eurdep;air;48.88;36.36;166.3;Ukraine;Óblast de Járkov;Blyznyukivs'kyi district;;Lozova;11.0;11.0
18/08/17 07:00;UA34415;Eurdep;air;49.18;37.3;61.1;Ukraine;Óblast de Járkov;;Izium;Izium;11.0;11.0
18/08/17 07:00;UA33049;Eurdep;air;52.19;32.58;154.8;Ukraine;Chernigov;Semenivs'kyi district;Semenivka;Semenivka;8.0;8.0
18/08/17 07:00;UA33058;Eurdep;air;52.05;33.95;188.1;Ukraine;Sumi;Yampil's'kyi district;Druzhba;Druzhba;9.6;9.6
18/08/17 07:00;UA33067;Eurdep;air;51.48;23.85;162.1;Ukraine;Volinia;Shats'kyi district;Svityaz';Svitiaz;7.8;7.8
18/08/17 07:00;UA33075;Eurdep;air;51.77;25.52;147.5;Ukraine;Volinia;Raión de Lyubeshiv;Lyubeshiv;Liubeshiv;9.6;9.6
18/08/17 07:00;UA33088;Eurdep;air;51.31;26.61;153.0;Ukraine;Rovno;Sarnens'kyi district;;Sarny;9.6;9.6
18/08/17 00:00;UA33135;Eurdep;air;51.44;31.2;107.9;Ukraine;Chernigov;Chernihivs'kyi district;;Chernihiv;0.0;0.0
18/08/17 07:00;UA33136;Eurdep;air;51.8;31.95;118.4;Ukraine;Chernigov;Shchors'kyi district;;Snovsk;9.6;9.6
18/08/17 07:00;UA33146;Eurdep;air;51.77;32.97;189.9;Ukraine;Chernigov;Korops'kyi district;;Pokoshychi;9.6;9.6
18/08/17 07:00;UA33156;Eurdep;air;51.65;33.98;185.7;Ukraine;Sumi;Hlukhivs'kyi district;;Hlukhiv;12.0;12.0
18/08/17 06:00;UA33173;Eurdep;air;51.2;24.71;171.7;Ukraine;Volinia;;Kovel;Kovel;8.0;8.0
18/08/17 07:00;UA33177;Eurdep;air;50.84;24.35;188.0;Ukraine;Volinia;Raión de Volodymyr-Volynskyi;;Volodymyr-Volynsky;12.0;12.0
18/08/17 07:00;UA33187;Eurdep;air;50.72;25.4;197.9;Ukraine;Volinia;Luts'kyi district;Pidhaitsi;Lutsk;9.6;9.6
18/08/17 07:00;UA33203;Eurdep;air;51.22;27.63;181.1;Ukraine;Zhitomir;Olevs'kyi district;Olevs'k;Olevsk;9.6;9.6
18/08/17 07:00;UA33215;Eurdep;air;50.96;28.61;186.3;Ukraine;Zhitomir;;Korostén;Korosten;15.0;15.0
18/08/17 07:00;UA33246;Eurdep;air;51.04;31.9;121.6;Ukraine;Chernigov;;Nezhin;Nizhyn;10.0;10.0
18/08/17 06:00;UA33261;Eurdep;air;51.24;33.19;142.3;Ukraine;Sumi;;Konotop;Konotop;8.0;8.0
18/08/17 07:00;UA33268;Eurdep;air;50.77;33.44;163.9;Ukraine;Sumi;;;Romny;11.0;11.0
18/08/17 07:00;UA33275;Eurdep;air;50.86;34.75;176.8;Ukraine;Sumi;;Sumy;Sumy;10.0;10.0
18/08/17 07:00;UA33287;Eurdep;air;50.24;23.63;236.9;Ukraine;Óblast de Leópolis;Zhovkivs'kyi district;Shabel'nya;Rava-Ruska;8.0;8.0
18/08/17 07:00;UA33288;Eurdep;air;50.12;24.35;203.5;Ukraine;Óblast de Leópolis;Kam'yanka-Buz'kyi district;;Kamianka-Buzka;7.8;7.8
18/08/17 07:00;UA33296;Eurdep;air;50.4;25.75;191.6;Ukraine;Rovno;;;Dubno;9.6;9.6
18/08/17 07:00;UA33297;Eurdep;air;50.1;25.15;232.8;Ukraine;Óblast de Leópolis;Brodivs'kyi district;Brody;Brody;8.0;8.0
18/08/17 06:00;UA33299;Eurdep;air;50.13;25.73;251.8;Ukraine;Ternopol;Kremenets'kyi district;;Kremenets;8.0;8.0
18/08/17 07:00;UA33301;Eurdep;air;50.6;26.15;221.8;Ukraine;Rovno;Rivnens'kyi district;;Rivne;9.6;9.6
18/08/17 07:00;UA33312;Eurdep;air;50.6;27.61;210.0;Ukraine;Zhitomir;;Novograd-Volinski;Novohrad-Volynskyi;11.0;11.0
