date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
16/05/17 02:00;AT0001;Eurdep;air;48.73;16.39;180.3;Austria;Baja Austria;Distrito de Mistelbach;;Laa/Thaya;7.9;8.2
16/05/17 02:00;AT0002;Eurdep;air;48.77;14.99;492.0;Austria;Baja Austria;Distrito de Gmünd;Gmünd;Gmünd;15.9;16.0
16/05/17 02:00;AT0003;Eurdep;air;48.34;16.84;144.5;Austria;Baja Austria;Distrito de Gänserndorf;;Zwerndorf;8.2;8.9
16/05/17 02:00;AT0004;Eurdep;air;46.62;13.85;504.8;Austria;Carintia;Villach;Villach;Villach;10.9;14.0
16/05/17 02:00;AT0005;Eurdep;air;46.69;15.98;206.8;Austria;Estiria;Südoststeiermark;;Bad Radkersburg;9.5;10.0
16/05/17 02:00;AT0006;Eurdep;air;47.58;12.17;490.6;Austria;Tirol;Distrito de Kufstein;Kufstein;Kufstein;8.7;9.1
16/05/17 02:00;AT0007;Eurdep;air;48.64;14.46;643.2;Austria;Alta Austria;Distrito de Freistadt;;Wullowitz;17.1;17.0
16/05/17 02:00;AT0012;Eurdep;air;48.25;13.04;353.7;Austria;Alta Austria;Braunau am Inn District;Braunau am Inn;Braunau;10.8;11.0
16/05/17 02:00;AT0015;Eurdep;air;47.41;9.74;441.5;Austria;Vorarlberg;Distrito de Dornbirn;Dornbirn;Dornbirn;6.6;6.7
16/05/17 02:00;AT0017;Eurdep;air;47.31;16.44;360.1;Austria;Burgenland;Distrito de Oberwart;Rechnitz;Rechnitz;7.4;7.7
16/05/17 02:00;AT0101;Eurdep;air;47.63;16.63;220.7;Austria;Győr-Moson-Sopron;Sopron–Fertődi;Kópháza;Deutschkreutz;7.6;8.0
16/05/17 02:00;AT0102;Eurdep;air;47.11;16.46;216.2;Austria;Burgenland;Distrito de Güssing;;Eberau;9.7;10.0
16/05/17 02:00;AT0103;Eurdep;air;47.85;16.54;169.1;Austria;Burgenland;Distrito de Eisenstadt-Umgebung;Eisenstadt;Eisenstadt;8.7;8.9
16/05/17 02:00;AT0104;Eurdep;air;47.84;16.93;124.4;Austria;Burgenland;Distrito de Neusiedl am See;Frauenkirchen;Frauenkirchen;8.0;8.1
16/05/17 02:00;AT0105;Eurdep;air;47.24;16.32;293.9;Austria;Burgenland;Distrito de Oberwart;Grosspetersdorf;Großpetersdorf;9.8;10.0
16/05/17 02:00;AT0106;Eurdep;air;47.06;16.32;217.2;Austria;Burgenland;Distrito de Güssing;Güssing;Güssing;7.3;7.5
16/05/17 02:00;AT0108;Eurdep;air;46.94;16.13;258.2;Austria;Burgenland;Distrito de Jennersdorf;Jennersdorf;Jennersdorf;8.5;8.0
16/05/17 02:00;AT0109;Eurdep;air;48.09;17.07;136.7;Austria;Burgenland;Distrito de Neusiedl am See;Kittsee;Kittsee;9.3;9.6
16/05/17 02:00;AT0110;Eurdep;air;47.6;16.39;324.0;Austria;Burgenland;Distrito de Oberpullendorf;;Kobersdorf;6.5;6.6
16/05/17 02:00;AT0111;Eurdep;air;47.41;16.42;358.6;Austria;Burgenland;Distrito de Oberpullendorf;;Lockenhaus;7.1;7.3
16/05/17 02:00;AT0112;Eurdep;air;47.74;16.4;241.2;Austria;Burgenland;Distrito de Mattersburg;Mattersburg;Mattersburg;7.4;7.6
16/05/17 02:00;AT0113;Eurdep;air;47.96;16.84;174.2;Austria;Burgenland;Distrito de Neusiedl am See;Neusiedl am See;Neusiedl/See;8.4;8.0
16/05/17 02:00;AT0114;Eurdep;air;47.5;16.5;289.9;Austria;Burgenland;Distrito de Oberpullendorf;Oberpullendorf;Oberpullendorf;7.5;7.6
16/05/17 02:00;AT0115;Eurdep;air;47.29;16.21;321.9;Austria;Burgenland;Distrito de Oberwart;Oberwart;Oberwart;7.3;7.6
16/05/17 02:00;AT0116;Eurdep;air;47.7;16.91;121.3;Austria;Burgenland;Distrito de Neusiedl am See;Pamhagen;Pamhagen;10.1;11.0
16/05/17 02:00;AT0117;Eurdep;air;47.81;16.68;114.7;Austria;Burgenland;Rust;Rust;Rust;6.7;6.8
16/05/17 02:00;AT0118;Eurdep;air;47.37;16.12;388.4;Austria;Burgenland;Distrito de Oberwart;Pinkafeld;Pinkafeld;10.2;10.0
16/05/17 02:00;AT0119;Eurdep;air;47.3;16.45;312.6;Austria;Burgenland;Distrito de Oberwart;Rechnitz;Rechnitz;7.7;7.9
16/05/17 02:00;AT0120;Eurdep;air;47.16;16.17;266.3;Austria;Burgenland;Distrito de Güssing;Stegersbach;Stegersbach;10.2;10.0
16/05/17 02:00;AT0201;Eurdep;air;47.72;15.78;1473.6;Austria;Baja Austria;Distrito de Neunkirchen;;Rax;8.2;8.4
16/05/17 02:00;AT0202;Eurdep;air;48.08;15.92;845.3;Austria;Baja Austria;Distrito de Baden;;Schöpfl;7.5;7.0
16/05/17 02:00;AT0203;Eurdep;air;47.62;15.83;1141.2;Austria;Estiria;Bruck-Mürzzuschlag District;;Semmering-Hirschenk.;12.1;12.0
16/05/17 02:00;AT0301;Eurdep;air;46.55;13.71;571.9;Austria;Carintia;Distrito de Villach-Land;Arnoldstein;Arnoldstein;9.8;12.0
16/05/17 02:00;AT0302;Eurdep;air;46.96;14.8;714.0;Austria;Carintia;Distrito de Wolfsberg;Bad Sankt Leonhard im Lavanttal;Bad St. Leonhard;8.3;8.6
16/05/17 02:00;AT0303;Eurdep;air;46.62;13.69;1003.9;Austria;Carintia;Distrito de Villach-Land;;Bleiberg;10.2;10.0
16/05/17 02:00;AT0304;Eurdep;air;46.59;14.8;483.5;Austria;Carintia;Distrito de Völkermarkt;Bleiburg;Bleiburg;9.9;10.0
16/05/17 02:00;AT0305;Eurdep;air;46.59;14.64;471.9;Austria;Carintia;Distrito de Völkermarkt;;Bad Eisenkappel;9.3;10.0
16/05/17 02:00;AT0306;Eurdep;air;46.72;14.1;551.0;Austria;Carintia;Distrito de Feldkirchen;Feldkirchen in Kärnten;Feldkirchen;9.0;9.1
16/05/17 02:00;AT0307;Eurdep;air;46.54;14.31;430.9;Austria;Carintia;Distrito de Klagenfurt-Land;Ferlach;Ferlach;8.6;9.3
16/05/17 02:00;AT0308;Eurdep;air;46.57;13.91;555.0;Austria;Carintia;Distrito de Villach-Land;;Faak;7.6;7.9
16/05/17 02:00;AT0309;Eurdep;air;46.96;14.4;643.4;Austria;Carintia;Distrito de Sankt Veit an der Glan;Friesach;Friesach;7.5;7.0
16/05/17 02:00;AT0310;Eurdep;air;46.9;13.53;731.5;Austria;Carintia;Distrito de Spittal an der Drau;;Gmünd Ktn.;11.4;12.0
16/05/17 02:00;AT0311;Eurdep;air;46.87;14.29;716.4;Austria;Carintia;Distrito de Sankt Veit an der Glan;;Gurk;11.3;11.0
16/05/17 02:00;AT0312;Eurdep;air;47.04;12.85;1452.9;Austria;Carintia;Distrito de Spittal an der Drau;;Heiligenblut;8.6;8.8
16/05/17 02:00;AT0313;Eurdep;air;46.63;13.36;641.9;Austria;Carintia;Distrito de Hermagor;Hermagor-Pressegger See;Hermagor;8.8;9.1
16/05/17 02:00;AT0314;Eurdep;air;46.61;14.32;438.2;Austria;Carintia;Klagenfurt am Wörthersee;Klagenfurt;Klagenfurt LRG;7.1;7.4
16/05/17 02:00;AT0316;Eurdep;air;46.87;14.12;746.1;Austria;Carintia;Distrito de Sankt Veit an der Glan;;Glödnitz;8.5;8.8
16/05/17 02:00;AT0317;Eurdep;air;46.67;13.0;0.0;Austria;0;0;0;Kötschach/Mauthen;7.8;8.1
16/05/17 02:00;AT0318;Eurdep;air;46.64;14.94;368.2;Austria;Carintia;Distrito de Völkermarkt;;Lavamünd;10.1;10.0
16/05/17 02:00;AT0319;Eurdep;air;46.75;12.97;682.2;Austria;Carintia;Distrito de Spittal an der Drau;;Oberdrauburg;11.2;11.0
